account,totalGasCost,appearanceCount,migrationTransactionHashes,Airdrop Transaction,Airdrop Transasction Status
0x01bC74b00970440c1F02A4c8fCdFFD1721B9e6C6,2765130158387472,1,['0x56745fb964f13f839d3409392c481ec787706e2dc6f585017d4c190b9072d76a'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97595,SUCCESS
0x01dD9cbB68723cc9DB166E3217335317808Bf414,1641795905525204,1,['0xf1c6f33af44c4f507d59a5e1cd2bd2d1f285edd728627c608da90891c92b97d1'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97596,SUCCESS
0x020a712A97B3120B42EC5AD901384D4e634F1551,3.94697E+15,1,['0x193c04e7f7128f0b069453fbf138b3f72c2bf9f62c3944c54a163c459f01ce5a'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97597,SUCCESS
0x02147Dfa162845997c10cc73A47C75a7Abd26893,2.67226E+15,1,['0xc05fe3e943cf6b41011b3341cd07ff62ef68049acc2372728362bcb17699f049'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97598,SUCCESS
0x021cc7f6821B5a8BBe702F3dAAc2EddA1891e6Df,2064048298846223,1,['0x364887f451b3f6171f4f284207ce5e2998e494aef9bf89ffd9bb212e64926e8f'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97599,SUCCESS
0x0236730CE7F2f76250b355AE62b461FDB62A9a7e,3592894963226764,1,['0xbf6a741232343aadc3756cda0d81e327e572750b4d6eef4c80ecfdfcad4c418f'],https://etherscan.io/tx/0x1ec7ebec9c561817cc62d14c9541d9a81b907cf574c69933fde7bfd8a4f97600,SUCCESS
0x023a8De44a158e5AB5b098967fa44ee88c3E0C34,2065004133345465,1,['0x15709fd8c85f4c570a0cd14fff894eab3731dc9efa63f465b366306bba6d9507'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x027c9bfc17d9DDE1481665fAcBa3cA333E13AA6b,3.46342E+15,1,['0xb42db2f47a1f64cd884be02e75ff48fe49aacc55918ddc8edae96f2eedb2fdbe'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x02b71336660F6E138A28684FAA60A8595A5FAfAB,2.0474E+15,1,['0xc6feb97b11845ca5433e5d44efebe4d5288f8a8823804643eb1aeb3633c43189'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x02b75763f2e92151010dFbd436a5bd7448A7F367,2167611479344829,1,['0x3745c827d703df13bf2fa0071f72691841f1d08ca1ee500eb374d7f7a037dcb5'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
